phiC,phiCsurf,phiS,phiSsurf,molar,molal,osm,gamma_per_vol,gamma,gammaC_per_vol,gammaC,ddA_nu,ddA_chi,ddA_eps,ddA,ddE_chi,ddE_eps,ddE,TddS_nu,TddS_chi,TddS_eps,TddS,ddA_nu_kJ,ddA_chi_kJ,ddA_eps_kJ,ddA_kJ,ddE_chi_kJ,ddE_eps_kJ,ddE_kJ,TddS_nu_kJ,TddS_chi_kJ,TddS_eps_kJ,TddS_kJ
0.11510000000000001,0.2038905169189355,0.8849,0.7961094830810644,2.57944511675855,2.914956624204486,2.8068811378048006,0.7714206509030017,26.23373112406154,-0.04047583925516114,-1.3764633897182865,-0.9411140137506282,0.06246804177525094,2.5615941611174775,1.6829481891421003,-0.06622148634543776,1.0246376644469912,0.9584161781015534,0.9411140137506282,-0.1286895281206887,-1.5369564966704863,-0.7245320110405468,-2.3316777292761715,0.15476907119719202,6.346533968948151,4.169625310869172,-0.1640685003678389,2.538613587579261,2.374545087211422,2.3316777292761715,-0.3188375715650309,-3.80792038136889,-1.7950802236577492
0.11610000000000001,0.20534835557667783,0.8839,0.7946516444233221,2.6018555869302142,2.943608538217235,2.8335605305543665,0.7687196862762948,26.14187931829294,-0.04073057697633435,-1.3851262649946894,-0.9467034595569397,0.06311392204542865,2.5799098290060867,1.6963202914945756,-0.06690617487219279,1.031963931602435,0.9650577567302422,0.9467034595569397,-0.13002009691762145,-1.5479458974036517,-0.7312625347643336,-2.3455259837014064,0.15636928606993675,6.391912354870268,4.202755657238798,-0.16576486549044844,2.5567649419481078,2.3910000764576593,2.3455259837014064,-0.32213415156038516,-3.83514741292216,-1.811755580781139
0.11710000000000001,0.20680207904575484,0.8829,0.7931979209542451,2.6242660571018783,2.9723253563278718,2.8602851429130025,0.7660297100406048,26.05040119515143,-0.04098401155537519,-1.393744824267525,-0.9522565762944719,0.06375727414823329,2.598173795405994,1.7096744932597554,-0.06758818332452184,1.0392695181623977,0.9716813348378758,0.9522565762944719,-0.1313454574727551,-1.5589042772435964,-0.7379931584218795,-2.3592842302430475,0.15796323722598662,6.43716264663162,4.235841653614559,-0.16745459053570222,2.5748650586526476,2.4074104681169453,2.3592842302430475,-0.3254178277616888,-3.8622975879789725,-1.8284311854976139
0.11810000000000001,0.20825171359575995,0.8819,0.79174828640424,2.646676527273543,3.001107299323668,2.8870551360514267,0.7633506655017774,25.959294826636775,-0.04123615057525735,-1.4023193254112656,-0.9577735588945346,0.06439804684585233,2.616386390357252,1.7230108783085698,-0.06826745738594626,1.046554556142901,0.9782870987569547,0.9577735588945346,-0.1326655042317986,-1.5698318342143511,-0.7447237795516151,-2.37295295185745,0.15955079771997205,6.482285661930199,4.2688835077927205,-0.16913754093061364,2.59291426477208,2.4237767238414665,2.37295295185745,-0.32868833865058567,-3.8893713971581185,-1.8451067839512545
0.11910000000000001,0.20969728530513937,0.8809,0.7903027146948607,2.669086997445207,3.029954588994445,2.9138706716889304,0.7606824962648141,25.868558294922135,-0.04148700156585581,-1.4108500244946531,-0.9632546014614561,0.06503619017305279,2.6345479414984228,1.7363295302100195,-0.06894394408903018,1.0538191765993692,0.984875232510339,0.9632546014614561,-0.13398013426208297,-1.5807287648990536,-0.7514542976996804,-2.386532629452063,0.16113184375943074,6.52728221251413,4.301881426821499,-0.17081358544454667,2.6109128850056527,2.440099299561106,2.386532629452063,-0.3319454292039774,-3.9163693275084777,-1.8617821272603923
0.1201,0.2111388200626369,0.8799,0.788861179937363,2.691497467616871,3.0588674481382774,2.9407319120958704,0.7580251462334465,25.778189692339602,-0.04173657200430744,-1.419337175792963,-0.9686998972686323,0.06567165541561193,2.6526587740847254,1.7496305322317052,-0.06961759179251559,1.0610635096338903,0.9914459178413747,0.9686998972686323,-0.13528924720812752,-1.591595264450835,-0.7581846143903304,-2.4000237418756396,0.16270625465136848,6.572153104226642,4.334835617002371,-0.17248259613256642,2.6288612416906565,2.45637864555809,2.4000237418756396,-0.3351888507839349,-3.943291862535985,-1.8784569714442805
0.1211,0.21257634356873145,0.8789,0.7874236564312685,2.713907937788535,3.087846100567226,2.9676390200961738,0.7553785596096736,25.68818712136445,-0.041984869315370724,-1.4277810318002357,-0.9741096387547751,0.06630439508908635,2.6707192110061,1.7629139673404115,-0.07028835015881664,1.0682876844024403,0.9979993342436236,0.9741096387547751,-0.136592745247903,-1.60243152660366,-0.7649146330967879,-2.413426765908946,0.16427391274965786,6.6168991370508055,4.367746283891517,-0.17414444827967968,2.6467596548203223,2.4726152065406426,2.413426765908946,-0.33841836102933753,-3.970139482230483,-1.8951310773508747
0.1221,0.21400988133706866,0.8779,0.7859901186629313,2.736318407960199,3.1168907711131095,2.994592159069864,0.7527426808932735,25.598548694598538,-0.04223190087178531,-1.4361818432415068,-0.9794840175204276,0.06693436291792201,2.6887295728051925,1.776179918202687,-0.0709561701318744,1.0754918291220772,1.0045356589902028,0.9794840175204276,-0.13789053304979643,-1.6132377436831153,-0.7716442592124841,-2.4267421762561208,0.16583470340328188,6.661521105154106,4.400613632301267,-0.17579902034596834,2.664608442061643,2.4888094217156747,2.4267421762561208,-0.3416337237492502,-3.996912663092463,-1.9118042105855926
0.1231,0.21543945869588374,0.8769,0.7845605413041162,2.7587288781318637,3.1460016856333257,3.0215914929555905,0.7501174548812655,25.50927253475204,-0.04247767399462992,-1.4445398590849756,-0.9848232243246657,0.06756151381489188,2.70669017769523,1.7894284671854561,-0.07162100391535733,1.082676071078092,1.0110550671627347,0.9848232243246657,-0.1391825177302492,-1.624014106617138,-0.7783734000227216,-2.4399704455365105,0.1673885149053893,6.706019796932726,4.433437866301605,-0.1774461939125797,2.6824079187730905,2.504961724860511,2.4399704455365105,-0.344834708817969,-4.023611878159636,-1.9284761414410947
0.1241,0.21686510078941765,0.8759,0.7831348992105823,2.781139348303528,3.1751790710166996,3.04863718625318,0.7475028266673462,25.42035677462421,-0.04272219595367966,-1.4528553265541586,-0.9901274490820502,0.06818580386086025,2.724601341577814,1.802659696356624,-0.07228280495121209,1.0898405366311255,1.0175577316799134,0.9901274490820502,-0.14046860881207235,-1.6347608049466884,-0.7851019646767106,-2.453112044277113,0.16893523844315925,6.750395995055627,4.466219189221674,-0.17908585362858442,2.7001583980222508,2.5210725443936663,2.453112044277113,-0.3480210920717437,-4.050237597033377,-1.9451466448280073
